Brier,Correlation,ROC_AUC,PR_AUC,Accuracy,Precision,Recall,F1,Open_Accuracy,Closed_Accuracy,Fold,Eval_Date,Train_Start,Train_End,N_Train_Rows,N_Eval_Rows
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,2026-01-06,2026-01-01,2026-01-05,7198,1440
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2,2026-01-11,2026-01-01,2026-01-10,14398,1440
1.919172962959245e-07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3,2026-01-16,2026-01-01,2026-01-15,21597,1440
2.0427172515293577e-07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4,2026-01-21,2026-01-01,2026-01-20,28797,1440
7.713104188165114e-08,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,5,2026-01-26,2026-01-01,2026-01-25,35996,1440
8.868788042058334e-28,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,6,2026-01-31,2026-01-01,2026-01-30,43196,1440
5.148244416566442e-07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,7,2026-02-05,2026-01-01,2026-02-04,50395,1438
0.02802175923345069,0.7816625692453125,0.959139534883721,0.6417220586735267,0.9430555555555555,0.6619047619047619,0.9266666666666666,0.7722222222222223,0.9266666666666666,0.9449612403100776,8,2026-02-10,2026-01-01,2026-02-09,57594,1440
8.064544832279827e-07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,9,2026-02-15,2026-01-01,2026-02-14,64794,1440
2.0387316282813812e-07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,10,2026-02-20,2026-01-01,2026-02-19,71992,1440
0.004635802890006556,0.8859291840073658,0.9660161806543385,0.7707279455061291,0.9937413073713491,0.7948717948717948,0.96875,0.8732394366197183,0.96875,0.9943100995732574,11,2026-02-25,2026-01-01,2026-02-24,79192,1438
0.029286597943010844,0.9332206996158204,0.9448290996381354,0.9523033857175083,0.9631944444444445,0.952565343659245,0.9959514170040485,0.9737753587333003,0.9959514170040485,0.8915929203539823,12,2026-03-02,2026-01-01,2026-03-01,86390,1440
1.0707949274856492e-06,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,13,2026-03-07,2026-01-01,2026-03-06,93590,1440
0.018616384496402474,0.7580681356654155,0.963743961352657,0.597414335407758,0.9743055555555555,0.6419753086419753,0.8666666666666667,0.7375886524822695,0.8666666666666667,0.9789855072463768,14,2026-03-12,2026-01-01,2026-03-11,100789,1440
1.0474606221633114e-06,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,15,2026-03-17,2026-01-01,2026-03-16,107989,1440
1.0542769308305492e-06,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,16,2026-03-22,2026-01-01,2026-03-21,115188,1440
